항목,값
라벨,run
측정 시각,2026-09-22 19:06:32
품질 레벨,PC
해상도,1920x1080
수직 동기화,0
목표 프레임,-1
개발 빌드,True
그래픽 API,Direct3D12
GPU,NVIDIA GeForce RTX 5070 Ti
CPU,AMD Ryzen 7 5700X 8-Core Processor 
시스템 메모리 MB,49076
유니티 버전,6000.3.23f1
표본 수,25940
예열 초,5
측정 초,30

평균 FPS,864.63
중앙 FPS,891.83
평균 프레임 시간 ms,1.157
중앙 프레임 시간 ms,1.121
95퍼센타일 프레임 시간 ms,1.351
99퍼센타일 프레임 시간 ms,1.523
최소 프레임 시간 ms,1.017
최대 프레임 시간 ms,10.643

평균 드로우콜,88.0
평균 배치,88.0
평균 SetPass 호출,50.0
평균 삼각형 수,428105
평균 정점 수,316130

프레임당 GC 할당 바이트 평균,1204.0
GC 예약 메모리 최대 MB,29.36
전체 예약 메모리 최대 MB,800.39

조명 합성 패스 평균 ms,0.0000
조명 합성 패스 중앙 ms,0.0000
조명 합성 패스 최대 ms,0.0000
화면 복사 패스 ms,수집 실패 (마커 없음)
